,0,1,2,3
2426,Connected, Stereo MC's,spotify:track:2bQ3lk19XCgwuNMXSSXivI,1993
2427,Livin On The Edge, Aerosmith,spotify:track:4avSaixVwu8uqfSs7zgoj3,1993
2428,In These Arms, Bon Jovi,spotify:track:0vTKR5TQD03kASmEGlyDF3,1993
2429,Slam, Onyx,spotify:track:0W2mz7mvaBaEsC4rmoRNPn,1993
2430,Regret, New Order,spotify:track:1UVll7jjUlqSGxCZ6uXVaD,1993
2431,Two Princes, Spin Doctors,spotify:track:4ePP9So5xRzspjLFVVbj90,1993
2432,Wannagirl, Jeremy Jordan,N/A,1993
2433,If I Had No Loot, Tony Toni Tone,spotify:track:5oPRLER8bCQN3RFFVvLbTC,1993
2434,It Was A Good Day, Ice Cube,spotify:track:2qOm7ukLyHUXWyR4ZWLwxA,1993
2435,By The Time This Night Is Over, Kenny G With Peabo Bryson,spotify:track:6i2s6ww1e5aGuTjWjYPdA2,1993
2436,Angel, Jon Secada,spotify:track:543d68hZ4dzVePFfdVc0Ki,1993
2437,Sleeping Satellite, Tasmin Archer,spotify:track:3WSyYBhLZRLbQo2tJgFvSR,1993
2438,Im Gonna Be (500 Miles), The Proclaimers,spotify:track:66S14BkJDxgkYxLl5DCqOz,1993
2439,Comforter, Shai,spotify:track:6vHJpgX1QTYa9SVXankGVR,1993
2440,"I Dont Wanna Fight (From ""Whats Love Got To Do With It"")", Tina Turner,N/A,1993
2441,I Have Nothing, Whitney Houston,spotify:track:31er9IGsfFbwqy1pH4aiTP,1993
2442,Hip Hop Hooray, Naughty By Nature,spotify:track:1w29UTa5uUvIri2tWtZ12Y,1993
2443,Love No Limit, Mary J. Blige,spotify:track:7gEGhEb1VcCeC6lJWnjI9Z,1993
2444,A Bad Goodbye, Clint Black With Wynonna,N/A,1993
2445,Hero, David Crosby & Phil Collins,spotify:track:4hjuVoySlMOYuJGgSUlgZV,1993
2446,Baby Im Yours, Shai,spotify:track:3xSu3S8v206qwhob9N2LGJ,1993
2447,Im Gonna Get You, Bizarre Inc,spotify:track:7MfZ9GpIwgexz22lOHIP4y,1993
2448,Dedicated, R. Kelly & Public Announcement,N/A,1993
2449,Who Is It, Michael Jackson,spotify:track:4HWcWgleTuUAWnVPNwW4CM,1993
2450,Six Feet Deep, Geto Boys,spotify:track:7fOa2YngldFhZpkPpQVwpb,1993
2451,Informer, Snow,spotify:track:2LjiPAQOVazT8sRyXL3XRs,1993
2452,One Last Cry, Brian McKnight,spotify:track:3l9OCOG3Vt6c2lxeMyGSIY,1993
2453,Passin Me By, The Pharcyde,spotify:track:4G3dZN9o3o2X4VKwt4CLts,1993
2454,Nothin My Love Cant Fix, Joey Lawrence,spotify:track:2ChuQXRBDEpG4XqiKFSaic,1993
2455,Fields Of Gold, Sting,spotify:track:5Y9Hqg5Z3EHUDDwd54FDQb,1993
2456,Runaway Train, Soul Asylum,spotify:track:3TW48DvQ7ChwY1Yy1tkMaP,1993
2457,Back Seat (Of My Jeep), LL Cool J,N/A,1993
2458,Somebody To Love, George Michael & Queen,spotify:track:1kn8Jj0i9IwyO3yDgDyUSR,1993
2459,The Floor, Johnny Gill,spotify:track:2QB1D9DD0EsC0wzktRmM2z,1993
2460,Somethings Goin On, U.N.V.,N/A,1993
2461,One Woman, Jade,spotify:track:0EnFaSWSkj45lktHxHtcXb,1993
2462,Touch My Light, Big Mountain,spotify:track:4JfwY47pEF4y5BJDCPoVGP,1993
2463,Good Times With Bad Boys, Boy Krazy,spotify:track:5xJFlU6POW87nEqmGMrN1c,1993
2464,ABC-123, Levert,spotify:track:3msTYr3qkU0vN4Rb9J8zUU,1993
2465,If I Could, Regina Belle,spotify:track:0x23ASdVCzUDBe9pIx4JPj,1993
2466,Down With The King, Run-D.M.C.,spotify:track:2oSPru8bef0EMhF9tvMSLn,1993
2467,Deeper, Boss,spotify:track:6PZ4laM20qkvIrgji3NLsK,1993
2468,Cry No More, II D Extreme,spotify:track:307S2NNAIrTAfkrxsOIbQw,1993
2469,Cats In The Cradle, Ugly Kid Joe,spotify:track:5x9RZg7HfXGY3JayXL3seF,1993
2470,Girl U For Me/Lose Control, Silk,spotify:track:0EcFzZUKTQysjIxMvAtemq,1993
2471,I Love The Way You Love Me, John Michael Montgomery,spotify:track:6MnDkyb3VstTCT9ELxjfeE,1993
2472,Little Miracles (Happen Every Day), Luther Vandross,spotify:track:4vgxvqlt55AJHhUxMIUgJA,1993
2473,Love Dont Love You, En Vogue,spotify:track:539OFwg53sCwJAxQ1gV7qX,1993
2474,Dur Dur Detre BeBe! (Its Tough To Be A Baby), Jordy,N/A,1993
2475,Walking In My Shoes, Depeche Mode,spotify:track:0VokHXtSNOpnlMWDMT9kPD,1993
2476,So Alone, Men At Large,spotify:track:39SV8I6A8knhMZ2yv1LUnM,1993
2477,Dont Take Away My Heaven, Aaron Neville,spotify:track:35GxBLcKPJwM7WS79I4fWP,1993
2478,If I Ever Lose My Faith In You, Sting,spotify:track:4u8QNalxYQISgG3z5TN5uP,1993
2479,"The Crying Game (From ""The Crying Game"")", Boy George,spotify:track:1hU4NqKCNkZqMyqNKvux0E,1993
2480,Tap The Bottle, Young Black Teenagers,spotify:track:1tqpUCOGNVjUOKvOqxChRb,1993
2481,Sweet Thing, Mary J. Blige,spotify:track:3X3XuCPTC95ARm9SguWsIa,1993
2482,Run To You, Whitney Houston,spotify:track:6M1M6cRtVkm5d0qTzkSEuK,1993
2483,"Lets Go Through The Motions (From ""Whos The Man?"")", Jodeci,N/A,1993
2484,Humps For The Blvd., Rodney O & Joe Cooley,N/A,1993
2485,Alibis, Tracy Lawrence,spotify:track:2TPm21kwmgRhx3kJfJmdrB,1993
2486,Every Little Thing U Do, Christopher Williams,spotify:track:6g9wUkxTf1MkfURIFHNTSK,1993
2487,Voice Of Freedom, Freedom Williams,spotify:track:4vXwQURNcbGwlFXmXqFiDD,1993
2488,Love U More, Sunscreem,spotify:track:0JjMXxzPJ221NcAO3GmFdj,1993
2489,Im Free, Jon Secada,spotify:track:2UfAxAPFNHkpArkEhBbyd4,1993
2490,Do Da What, 1 Of The Girls,N/A,1993
2491,Creep, Radiohead,spotify:track:6b2oQwSGFkzsMtQruIWm2p,1993
2492,Shouldve Been A Cowboy, Toby Keith,spotify:track:69ku805AjIcFQh0IfkGohf,1993
2493,Its My Life, Dr. Alban,spotify:track:6HdM7gzXVgcpepv276raog,1993
2494,Typical Reasons (Swing My Way), Prince Markie Dee And The Soul Convention,N/A,1993
2495,Its On, Naughty By Nature,spotify:track:3lanCLtaKrSkKzMuiS2HNF,1993
2496,I Should Be Laughing, Patty Smyth,spotify:track:3tJFi9WLf1qtkPXumt9THq,1993
2497,Supermodel (You Better Work), RuPaul,spotify:track:1AAwAM9IjTlvi8x10kc2I1,1993
2498,"Almost Unreal (From ""Super Mario Bros."")", Roxette,N/A,1993
2499,Falling In Love, New Born,N/A,1993
2500,Ill Be There, Mariah Carey,spotify:track:5jI2ApByK8KJeWVU39oRO4,1992
2501,Baby Got Back, Sir Mix-A-Lot,spotify:track:28yT0sZlkqStSByo1j58J4,1992
2502,Jump, Kris Kross,spotify:track:27AHAtAirQapVldIm4c9ZX,1992
2503,Under The Bridge, Red Hot Chili Peppers,spotify:track:3d9DChrdc6BOeFsbrZ3Is0,1992
2504,My Lovin (Youre Never Gonna Get It), En Vogue,spotify:track:3R97rNX7JnmshCWBwOSFet,1992
2505,Damn I Wish I Was Your Lover, Sophie B. Hawkins,spotify:track:7kmfQ2QHwGqRCxVHDv5mzo,1992
